scan_id;target_id;target_name;coletado_em;pagina_url;fluxo_essencial;viewport;regra_id;origem;veredito;gravidade_tecnica;risco_juridico;criterios_wcag;criterio_principal;principio;nivel;ocorrencias;grupos_afetados;dispositivos_normativos;resumo;tese_juridica
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;mobile-320;probe.heading-structure.no-h1;probe;fail;moderate;alto;1.3.1;1.3.1;perceptivel;A;1;baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74;A página não declara um cabeçalho de primeiro nível (H1).;"Sem estrutura semântica, a tecnologia assistiva não consegue reconstruir a relação entre rótulo e dado; o art. 74 da LBI assegura o acesso a tecnologias assistivas, o que pressupõe conteúdo com elas compatível."
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;mobile-320;probe.heading-structure.level-skip;probe;incomplete;;alto;1.3.1;1.3.1;perceptivel;A;1;baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74;1 salto(s) de nível na hierarquia de cabeçalhos.;"Sem estrutura semântica, a tecnologia assistiva não consegue reconstruir a relação entre rótulo e dado; o art. 74 da LBI assegura o acesso a tecnologias assistivas, o que pressupõe conteúdo com elas compatível."
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;mobile-320;probe.positive-tabindex;probe;fail;moderate;alto;2.4.3;2.4.3;operavel;A;1;cegueira|cognitiva_neurodivergencia|motora;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25;1 elemento(s) usam tabindex positivo, alterando a ordem natural de tabulação.;Ordem de foco incoerente induz erro na submissão de dados de saúde, com risco de agendamento equivocado — dano ao acesso ao serviço.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;mobile-320;probe.placeholder-como-rotulo;probe;fail;serious;alto;3.3.2;3.3.2;compreensivel;A;1;baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74|lbi.art3.i;1 campo(s) de formulário são identificados apenas pelo texto de placeholder.;Campo sem rótulo programático torna indeterminável o dado solicitado, inviabilizando o preenchimento autônomo (art. 3º, I, LBI).
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;mobile-320;probe.zoom-lock;probe;fail;serious;alto;1.4.4;1.4.4;perceptivel;AA;1;baixa_visao|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25;A página bloqueia a ampliação pelo usuário.;O bloqueio de ampliação nega adaptação razoável, conduta equiparada a discriminação pelo art. 4º, § 1º da LBI.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;mobile-320;probe.captions.embedded-player;probe;incomplete;;alto;1.2.2;1.2.2;perceptivel;A;1;surdez;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|dec5626.art26;1 player(s) de terceiros embutidos — região opaca à auditoria automática.;Vídeo de orientação em saúde sem legenda nega à pessoa surda o acesso à informação sanitária, violando o art. 26 do Decreto 5.626/2005 e o direito à atenção integral do art. 18 da LBI.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;mobile-320;probe.data-cost;probe;fail;serious;alto;;;;;1;baixa_conectividade;cf.art196|lbi.art18|lei13460.art5|cf.art5.xiv;Um único acesso a esta página consome 2.06 MB, ou 0.020% da franquia mensal do plano de referência (0.6 centavo).;O custo de dados exigido para acessar o serviço digital de saúde transfere ao cidadão um ônus econômico como condição de exercício de direito fundamental. Quando esse ônus recai desproporcionalmente sobre a população de menor renda — a mesma que depende exclusivamente do SUS — o acesso deixa de ser universal e igualitário, em desacordo com o art. 196 da CF/88 e com o dever de informação adequada do art. 18, § 4º da Lei 13.146/2015. A parcela do tráfego destinada a terceiros agrava a situação: o usuário custeia recursos que não lhe prestam o serviço público solicitado.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;button-name;axe-core;fail;critical;critico;4.1.2;4.1.2;robusto;A;1;cegueira|fala|motora;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74|onu.art9;Buttons must have discernible text;Controle sem nome, função ou valor expostos simplesmente não existe para a tecnologia assistiva: o serviço é, para o usuário cego, inexistente. É a forma mais severa de barreira na informação do art. 3º, IV, 'd'.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;color-contrast;axe-core;fail;serious;alto;1.4.3;1.4.3;perceptivel;AA;10;baixa_visao|cognitiva_neurodivergencia|visao_de_cores;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|cf.art5.xiv|lai.art8.par3.viii;Elements must meet minimum color contrast ratio thresholds;"O contraste insuficiente é a barreira de comunicação mais prevalente e atinge diretamente a população idosa usuária do SUS; sua persistência em portal público caracteriza descumprimento continuado do art. 63, caput, da LBI e do art. 47 do Decreto 5.296/2004."
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;image-alt;axe-core;fail;critical;alto;1.1.1;1.1.1;perceptivel;A;16;baixa_conectividade|baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74|cf.art5.xiv|lai.art8.par3.viii;Images must have alternative text;A ausência de alternativa textual configura barreira na comunicação e na informação (art. 3º, IV, 'd', LBI): o conteúdo existe juridicamente como informação pública, mas não é recebível pelo usuário cego, esvaziando o dever de transparência ativa do art. 8º, § 3º, VIII da LAI.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;link-name;axe-core;fail;serious;critico;2.4.4|4.1.2;2.4.4;operavel;A;9;cegueira|cognitiva_neurodivergencia|fala|motora;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74|onu.art9;Links must have discernible text;Controle sem nome, função ou valor expostos simplesmente não existe para a tecnologia assistiva: o serviço é, para o usuário cego, inexistente. É a forma mais severa de barreira na informação do art. 3º, IV, 'd'.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;list;axe-core;fail;serious;alto;1.3.1;1.3.1;perceptivel;A;1;baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74;<ul> and <ol> must only directly contain <li>, <script> or <template> elements;"Sem estrutura semântica, a tecnologia assistiva não consegue reconstruir a relação entre rótulo e dado; o art. 74 da LBI assegura o acesso a tecnologias assistivas, o que pressupõe conteúdo com elas compatível."
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;listitem;axe-core;fail;serious;alto;1.3.1;1.3.1;perceptivel;A;3;baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74;<li> elements must be contained in a <ul> or <ol>;"Sem estrutura semântica, a tecnologia assistiva não consegue reconstruir a relação entre rótulo e dado; o art. 74 da LBI assegura o acesso a tecnologias assistivas, o que pressupõe conteúdo com elas compatível."
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;meta-viewport;axe-core;fail;moderate;alto;1.4.4;1.4.4;perceptivel;AA;1;baixa_visao|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25;Zooming and scaling must not be disabled;O bloqueio de ampliação nega adaptação razoável, conduta equiparada a discriminação pelo art. 4º, § 1º da LBI.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;aria-valid-attr-value;axe-core;incomplete;;critico;4.1.2;4.1.2;robusto;A;1;cegueira|fala|motora;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74|onu.art9;ARIA attributes must conform to valid values;Controle sem nome, função ou valor expostos simplesmente não existe para a tecnologia assistiva: o serviço é, para o usuário cego, inexistente. É a forma mais severa de barreira na informação do art. 3º, IV, 'd'.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;color-contrast;axe-core;incomplete;;alto;1.4.3;1.4.3;perceptivel;AA;17;baixa_visao|cognitiva_neurodivergencia|visao_de_cores;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|cf.art5.xiv|lai.art8.par3.viii;Elements must meet minimum color contrast ratio thresholds;"O contraste insuficiente é a barreira de comunicação mais prevalente e atinge diretamente a população idosa usuária do SUS; sua persistência em portal público caracteriza descumprimento continuado do art. 63, caput, da LBI e do art. 47 do Decreto 5.296/2004."
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.landmarks.no-skip-link;probe;incomplete;;moderado;2.4.1;2.4.1;operavel;A;1;cegueira|cognitiva_neurodivergencia|motora;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art3.i;Nenhum link de salto para o conteúdo principal foi encontrado.;A ausência de mecanismo de salto obriga a percorrer repetidamente blocos idênticos, esforço desproporcional vedado pelo conceito de acessibilidade com autonomia do art. 3º, I da LBI.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.heading-structure.no-h1;probe;fail;moderate;alto;1.3.1;1.3.1;perceptivel;A;1;baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74;A página não declara um cabeçalho de primeiro nível (H1).;"Sem estrutura semântica, a tecnologia assistiva não consegue reconstruir a relação entre rótulo e dado; o art. 74 da LBI assegura o acesso a tecnologias assistivas, o que pressupõe conteúdo com elas compatível."
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.heading-structure.level-skip;probe;incomplete;;alto;1.3.1;1.3.1;perceptivel;A;1;baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74;1 salto(s) de nível na hierarquia de cabeçalhos.;"Sem estrutura semântica, a tecnologia assistiva não consegue reconstruir a relação entre rótulo e dado; o art. 74 da LBI assegura o acesso a tecnologias assistivas, o que pressupõe conteúdo com elas compatível."
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.positive-tabindex;probe;fail;moderate;alto;2.4.3;2.4.3;operavel;A;1;cegueira|cognitiva_neurodivergencia|motora;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25;1 elemento(s) usam tabindex positivo, alterando a ordem natural de tabulação.;Ordem de foco incoerente induz erro na submissão de dados de saúde, com risco de agendamento equivocado — dano ao acesso ao serviço.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.placeholder-como-rotulo;probe;fail;serious;alto;3.3.2;3.3.2;compreensivel;A;1;baixa_visao|cegueira|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74|lbi.art3.i;1 campo(s) de formulário são identificados apenas pelo texto de placeholder.;Campo sem rótulo programático torna indeterminável o dado solicitado, inviabilizando o preenchimento autônomo (art. 3º, I, LBI).
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.zoom-lock;probe;fail;serious;alto;1.4.4;1.4.4;perceptivel;AA;1;baixa_visao|cognitiva_neurodivergencia;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25;A página bloqueia a ampliação pelo usuário.;O bloqueio de ampliação nega adaptação razoável, conduta equiparada a discriminação pelo art. 4º, § 1º da LBI.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.captions.embedded-player;probe;incomplete;;alto;1.2.2;1.2.2;perceptivel;A;1;surdez;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|dec5626.art26;1 player(s) de terceiros embutidos — região opaca à auditoria automática.;Vídeo de orientação em saúde sem legenda nega à pessoa surda o acesso à informação sanitária, violando o art. 26 do Decreto 5.626/2005 e o direito à atenção integral do art. 18 da LBI.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.data-cost;probe;fail;serious;alto;;;;;1;baixa_conectividade;cf.art196|lbi.art18|lei13460.art5|cf.art5.xiv;Um único acesso a esta página consome 2.10 MB, ou 0.021% da franquia mensal do plano de referência (0.6 centavo).;O custo de dados exigido para acessar o serviço digital de saúde transfere ao cidadão um ônus econômico como condição de exercício de direito fundamental. Quando esse ônus recai desproporcionalmente sobre a população de menor renda — a mesma que depende exclusivamente do SUS — o acesso deixa de ser universal e igualitário, em desacordo com o art. 196 da CF/88 e com o dever de informação adequada do art. 18, § 4º da Lei 13.146/2015. A parcela do tráfego destinada a terceiros agrava a situação: o usuário custeia recursos que não lhe prestam o serviço público solicitado.
e447b562-f379-47aa-9b63-d7402e1d6aca;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-21T04:07:24.259545+00:00;https://prefeitura.rio/saude/;1;desktop-1366;probe.readability;heuristic;incomplete;;moderado;;;;;1;cognitiva_neurodivergencia|baixa_conectividade;lbi.art18|lai.art8.par3.viii|lei13460.art5;Legibilidade do conteúdo principal em 0.0 pontos — faixa muito difícil (exige ensino superior).;A publicação de informação de saúde em registro linguístico inacessível à população destinatária esvazia materialmente o dever de oferta de comunicação e informação adequadas (art. 18, § 4º, IV, LBI) e o dever de transparência ativa (art. 8º, § 3º, LAI). A informação torna-se disponível sem se tornar acessível.
b2293011-99e9-4d22-b3da-df6dca667045;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-20T21:57:21.105580+00:00;https://prefeitura.rio/saude/;1;mobile-320;button-name;axe-core;fail;critical;critico;4.1.2;4.1.2;robusto;A;1;cegueira|fala|motora;lbi.art63.caput|lbi.art3.iv.d|lbi.art4|dec5296.art47|emag.3.1|lbi.art18|cf.art196|onu.art25|lbi.art74|onu.art9;Buttons must have discernible text;Controle sem nome, função ou valor expostos simplesmente não existe para a tecnologia assistiva: o serviço é, para o usuário cego, inexistente. É a forma mais severa de barreira na informação do art. 3º, IV, 'd'.
